,Id,R,Nome,Squadra,Qt. A,Qt. I,Diff.,Tit
248,697,W,CUADRADO,Juventus,19,19,0,0.65
249,453,Por,SZCZESNY,Juventus,18,18,0,0.8
250,469,C,PJANIC,Juventus,18,18,0,0.9
251,184,W;A,BERNARDESCHI,Juventus,17,17,0,0.55
252,312,Pc,MANDZUKIC,Juventus,17,17,0,0.55
253,662,Ds;E,ALEX SANDRO,Juventus,17,17,0,0.85
254,2306,M;C,MATUIDI,Juventus,16,16,0,0.7
255,299,C,KHEDIRA,Juventus,16,16,0,0.7
256,2310,Dd;E,CANCELO,Juventus,14,14,0,
257,288,Dc,CHIELLINI,Juventus,12,12,0,0.8
258,286,Dc,BONUCCI,Juventus,12,12,0,0.85
259,1931,Dc,BENATIA,Juventus,10,10,0,0.65
260,358,Dd;Ds;E,DE SCIGLIO,Juventus,8,8,0,0.55
261,294,Dc,RUGANI,Juventus,8,8,0,0.5
262,2166,C,BENTANCUR,Juventus,7,7,0,0.5
263,2097,Pc,KEAN,Juventus,6,6,0,
264,1852,Ds;E,SPINAZZOLA,Juventus,6,6,0,0.5
265,285,Dc,BARZAGLI,Juventus,3,3,0,0.45
266,218,Por,PERIN,Juventus,1,1,0,0.5
267,1930,Por,PINSOGLIO,Juventus,1,1,0,0.1
268,785,Pc,IMMOBILE,Lazio,41,41,0,0.9
269,645,C;T,MILINKOVIC-SAVIC,Lazio,29,29,0,0.9
270,645,C;T,MILINKOVIC-SAVIC,Lazio,29,29,0,0.5
271,2085,T;A,LUIS ALBERTO,Lazio,26,26,0,0.9
272,342,M;C,PAROLO,Lazio,14,14,0,0.9
273,2209,M;C,LUCAS LEIVA,Lazio,13,13,0,0.9
274,338,E;C,LULIC,Lazio,13,13,0,0.9
275,495,T;A,CORREA,Lazio,12,12,0,0.55
276,1934,Por,STRAKOSHA,Lazio,12,12,0,0.9
277,513,Dc,ACERBI,Lazio,12,12,0,0.9
278,2188,E,MARUSIC,Lazio,11,11,0,0.85
279,2771,C;T,BERISHA V,Lazio,10,10,0,
280,329,Ds;Dc,RADU,Lazio,9,9,0,0.85
281,329,Ds;Dc,RADU,Lazio,9,9,0,0.5
282,170,M;C,BADELJ,Lazio,8,8,0,0.65
