;Id;R;Nome;Squadra;Qt. A;Qt. I;Diff.;Tit
216;418;Dc;GOLDANIGA;Frosinone;6;6;0;0.8
223;205;"M;C";GORI;Frosinone;1;1;0;0.55
274;2811;"M;C";KONE';Frosinone;2;2;0;0.45
279;1867;Dc;KRAJNC;Frosinone;4;4;0;0.55
314;651;C;MAIELLO;Frosinone;5;5;0;0.75
350;551;"Ds;E";MOLINARO;Frosinone;7;7;0;0.55
377;207;W;PAGANINI;Frosinone;2;2;0;0.1
399;605;Pc;PERICA;Frosinone;11;11;0;0.8
488;210;"C;W;T";SODDIMO;Frosinone;6;6;0;0.55
493;4;Por;SPORTIELLO;Frosinone;6;6;0;0.9
510;522;Dc;TERRANOVA;Frosinone;6;6;0;0.9
535;2809;Por;VIGORITO;Frosinone;1;1;0;0.1
53;264;"C;T";BESSA;Genoa;7;7;0;0.6
58;2083;"Dd;Dc";BIRASCHI;Genoa;7;7;0;0.85
85;2760;C;CALLEGARI;Genoa;2;2;0;0.3
123;2759;"Ds;Dc";CRISCITO;Genoa;10;10;0;0.9
180;2664;Dc;EL YAMIQ;Genoa;2;2;0;0.2
207;2196;Pc;GALABINOV;Genoa;3;3;0;0.1
228;2758;Dc;GUNTER;Genoa;3;3;0;0.25
240;433;C;HILJEMARK;Genoa;6;6;0;0.65
275;2762;Pc;KOUAME';Genoa;3;3;0;0.55
286;2757;"Dd;E";LAKICEVIC;Genoa;5;5;0;0.55
287;1939;Pc;LAPADULA;Genoa;12;12;0;0.55
290;235;E;LAXALT;Genoa;10;10;0;0.9
291;236;"E;C";LAZOVIC;Genoa;6;6;0;0.5
322;318;Por;MARCHETTI;Genoa;10;10;0;0.7
333;1976;"M;C";MAZZITELLI;Genoa;6;6;0;0.55
336;2658;"T;A";MEDEIROS;Genoa;12;12;0;0.8
371;2293;C;OMEONGA;Genoa;4;4;0;0.3
382;245;A;PANDEV;Genoa;9;9;0;0.65
398;729;"Dd;E";PEREIRA P;Genoa;3;3;0;0.6
408;2756;Pc;PIATEK;Genoa;13;13;0;0.65
428;1843;Por;RADU I;Genoa;1;1;0;0.5
452;621;"E;M";ROMULO;Genoa;12;12;0;0.9
454;54;"Dd;Dc";ROSSETTINI;Genoa;5;5;0;0.3
